titulo,ano,local,coautores,link_externo
Extração de atributos em imagens de sensoriamento remoto utilizando Independent Component Analysis e combinação de métodos lineares.,2006,N/A,Alexandre Luís Magalhães Levada,N/A
Uma Breve Introdução ao Reconhecimento de Padrões,N/A,N/A,Alexandre Luis Magalhães Levada,N/A
Is artificial intelligence superior to traditional regression methods in predicting prognosis of adult traumatic brain injury?,2025,Springer Berlin Heidelberg,Matheus Ballestero; Leandro Candido de Souza; Alexandre Luis Magalhães Levada; Rodrigo Inácio Pongeluppi; Stephanie Naomi Funo; Felipe Gutierrez Pineda; Benedicto Oscar Colli; Ricardo Santos de Oliveira,N/A
Entropic Semi-Supervised Dimensionality Reduction for Distance Metric Learning,2025,World Scientific Publishing Company,Alexandre LM Levada,N/A
ARecursive HIGHER-ORDER NON-LINEAR ADAPTIVE WIENER FILTER FOR TIME SERIES SMOOTHING,2024,N/A,Alexandre Luis Magalhães Levada,N/A
Supervised $ t $-SNE for Metric Learning With Stochastic and Geodesic Distances $ T $-SNE supervisé pour l’apprentissage métrique avec des distances stochastiques et géodésiques,2024,IEEE,Alaor Cervati Neto; Alexandre LM Levada; Michel Ferreira Cardia Haddad,N/A
A New Kernel Density Estimation-Based Entropic Isometric Feature Mapping for Unsupervised Metric Learning,2024,Springer Berlin Heidelberg,Alaor Cervati Neto; Alexandre Luís Magalhães Levada; Michel Ferreira Cardia Haddad,N/A
An information-geometric approach for network decomposition using the q-state Potts model,2024,N/A,Alexandre LM Levada,N/A
Unsupervised metric learning via K-ISOMAP for high-dimensional data clustering,2024,N/A,Rodrigo de P Mendes; Gustavo H Chavari; Alexandre LM Levada,N/A
Unsupervised metric learning via K-ISOMAP for high-dimensional data clustering,2024,N/A,Mendes RdP; GH Chavari; ALM Levada,N/A
The geodesic dispersion phenomenon in random fields dynamics,2024,N/A,Alexandre LM Levada,N/A
A Review on Dimensionality Reduction for Unsupervised Metric Learning: From Linear Spaces to Manifolds,2023,N/A,Alexandre Levada,N/A
Geodesic curves in Gaussian random field manifolds,2021,N/A,Alexandre LM Levada,N/A
On the curvatures of Gaussian random field manifolds,2021,N/A,Alexandre LM Levada,N/A
Information-theoretic analysis of complex systems modeled by two dimensional pairwise Ising models,2021,N/A,Alexandre Levada,N/A
Extração de Atributos para Redução de Dimensionalidade Linear e Não Linear em Problemas de Classificação de Padrões,2021,N/A,Alexandre Luis Magalhães Levada; Gabirelle Scaranello Faria,N/A
Improving Parametric PCA Using KL-divergence Between Gaussian-Markov Random Field Models,2021,Springer International Publishing,Alexandre LM Levada,N/A
A Sparse Filtering-Based Approach for Non-blind Deep Image Denoising,2019,Springer International Publishing,Rafael G Pires; Daniel S Santos; Gustavo B Souza; Alexandre LM Levada; João Paulo Papa,N/A
A new approach for plant phenotyping and image segmentation based on contextual information.,2017,"In: II Latin-American Conference on Plant Phenotyping and Phenomics for Plant Breeding, 2, 2017, São Carlos, SP. Proceedings... São Carlos: Embrapa Instrumentação, 2017.",GM ALVES; PE Cruvinel; GB SOUZA; AN Marana; ALM LEVADA,N/A
A Framework Based on Image Processing Techniques for Providing Synchronization in Smart TV,2016,"The Steering Committee of The World Congress in Computer Science, Computer Engineering and Applied Computing (WorldComp)",Cédrick Bamba Nsimba; Alexandre Luis Magalhães Levada,N/A
Random Fields in Complex Systems Modelling: Information Geometry and Fisher Curves,2015,Multidisciplinary Digital Publishing Institute,Alexandre LM Levada,N/A
Construção de tabelas verdade-Parte 3,2015,N/A,Alexandre Luis Magalhães Levada,N/A
O caso de West,2015,N/A,Alexandre Luis Magalhães Levada,N/A
Information geometry in Gaussian random fields: searching for an arrow of time in complex systems,2014,MDPI AG,Alexandre Levada,N/A
Lógica de predicados: introdução e conceitos básicos,2012,N/A,Alexandre Luis Magalhães Levada,N/A
"Técnicas dedutivas: Prova direta, prova condicional e prova por redução ao absurdo",2012,N/A,Alexandre Luis Magalhães Levada,N/A
Técnicas dedutivas,2012,N/A,Alexandre Luis Magalhães Levada,N/A
Lógica proposicional: Alfabeto e considerações iniciais,2012,N/A,Alexandre Luis Magalhães Levada,N/A
Álgebra Proposicional: Propriedades,2012,N/A,Alexandre Luis Magalhães Levada,N/A
Lógica dos predicados,2012,N/A,Alexandre Luis Magalhães Levada,N/A
Inferência lógica e os sistemas de derivação,2012,N/A,Alexandre Luis Magalhães Levada,N/A
Prova por resolução,2012,N/A,Alexandre Luis Magalhães Levada,N/A
Guia da disciplina: Fundamentos de Lógica Matemática,2011,N/A,Alexandre Luis Magalhães Levada,N/A
Construção de tabelas verdade,2011,N/A,Alexandre Luis Magalhães Levada,N/A
On Fisher Information and the Spatial Dependence Structure of Isotropic Pairwise Gaussian-Markov Random Field Models,2011,N/A,Alexandre LM Levada,N/A
On the Spatial Dependence Structure of Isotropic Pairwise Gaussian-Markov Random Field Models,2011,N/A,Alexandre LM Levada,N/A
Classificação de imagens multiespectrais de ressonância magnética nuclear do cérebro de primatas utilizando campos aleatórios Markovianos,2010,N/A,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannus,N/A
Segmentação contextual de imagens multiespectrais utilizando combinação de campos aleatórios markovianos,2008,N/A,Alexandre Luís Magalhães Levada; Alberto Tannús; Nelson Delfino d'Ávila Mascarenhas,N/A
Spatially non-homogeneous Potts model parameter estimation on higher-order neighborhood systems by maximum...,2008,N/A,Alexandre L M Levada; Nelson DA Mascarenhas; Alberto Tannús; Denis Salvadeo,N/A
"Combining Block-based PCA, Global PCA and LDA for Feature Extraction in Face Recognition",2008,Anais do IV Workshop de Visão Computacional,Denis HP Salvadeo; Débora C Corrêa; Alexandre LM Levada; Nelson DA Mascarenhas; Jander Moreira; José H Saito,N/A
Introdução à Lógica Matemática,N/A,N/A,Alexandre LM Levada,N/A
